Designator,Mid X,Mid Y,Rotation,Layer
C1,37.7,-77.5,90.0,top
C10,35.8,-48.6,0.0,top
C11,57.0,-68.0,90.0,top
C12,45.5,-92.8,180.0,top
C13,39.4,-63.3,270.0,top
C14,44.9,-68.65,180.0,top
C2,37.7,-81.3,270.0,top
C3,37.7,-88.9,270.0,top
C4,42.8,-78.7,180.0,top
C5,33.6,-44.5,90.0,top
C7,50.9,-48.0,270.0,top
C8,39.4,-44.1,270.0,top
C9,44.5,-49.6,180.0,top
D101,57.9,-46.9,270.0,top
GOTE1,53.9,-96.6,0.0,top
GOTE2,47.7,-80.7,0.0,bottom
J1,24.5,-74.12,270.0,top
J3,18.3,-47.6,90.0,top
J4,30.29,-81.135,270.0,top
J5,64.79726,-62.0,90.0,top
JR1,64.725,-90.6,270.0,top
JU1,64.725,-103.62,270.0,top
L101,30.5,-43.1,0.0,top
R1,44.5,-47.6,180.0,top
R10,56.8,-79.0,90.0,top
R101,54.7,-49.6,0.0,top
R11,58.9,-69.6,270.0,top
R12,52.5,-60.0,270.0,top
R13,50.5,-60.0,270.0,top
R14,57.0,-64.2,90.0,top
R15,39.4,-59.4,90.0,top
R16,29.5,-46.2,180.0,top
R17,29.5,-48.2,180.0,top
R18,44.9,-70.7,180.0,top
R19,33.1,-53.5,270.0,top
R2,40.7,-47.6,180.0,top
R20,45.5,-80.7,0.0,top
R21,45.5,-82.7,0.0,top
R22,45.5,-84.7,0.0,top
R23,42.4,-83.6,90.0,top
R24,57.0,-71.9,90.0,top
R25,55.0,-71.9,90.0,top
R26,52.7,-71.9,90.0,top
R27,48.7,-71.9,90.0,top
R28,50.7,-71.9,90.0,top
R3,37.7,-73.7,90.0,top
R4,37.7,-85.1,270.0,top
R5,37.7,-92.7,270.0,top
R6,56.5,-60.0,270.0,top
R7,54.5,-60.0,270.0,top
R8,54.8,-79.0,90.0,top
R9,57.8,-54.0,270.0,top
U1,42.646,-44.142,270.0,top
U10,36.8,-53.4,0.0,top
U3,53.0,-65.9,180.0,top
U6,45.1,-88.9,270.0,top
U8,44.9,-64.9,270.0,top
